onetsoccode,Title,taskid,task,tasktype,incumbentsresponding,date,domainsource,scaleid,category,datavalue,n,standarderror,lowercibound,uppercibound,recommendsuppress
11-1011.00,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,94,08/2023,Incumbent,IM,n/a,4.1300001,91,0.1505,3.8353,4.4332,N
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,94,08/2023,Incumbent,IM,n/a,3.9000001,26,0.2359,3.4184,4.3903,N
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,95,08/2023,Incumbent,IM,n/a,4.0900002,88,0.1555,3.7763,4.3945,N
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,95,08/2023,Incumbent,IM,n/a,3.98,52,0.1559,3.6622,4.2882,N
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,94,08/2023,Incumbent,IM,n/a,3.7,52,0.2178,3.2618,4.1362,N
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,95,08/2023,Incumbent,IM,n/a,3.98,86,0.1294,3.7208,4.2352,N
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,Core,94,08/2023,Incumbent,IM,n/a,3.5899999,64,0.2084,3.1786,4.0114,N
11-1011.00,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,95,08/2023,Incumbent,IM,n/a,4.3000002,87,0.1527,3.9916,4.5985,N
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,95,08/2023,Incumbent,IM,n/a,3.9400001,87,0.1619,3.6207,4.2643,N
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,94,08/2023,Incumbent,IM,n/a,3.4200001,60,0.2433,2.9353,3.9089,N
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,95,08/2023,Incumbent,IM,n/a,3.9200001,71,0.1246,3.6712,4.1683,N
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Supplemental,94,08/2023,Incumbent,IM,n/a,3.6600001,64,0.1999,3.2614,4.0604,N
11-1011.00,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,94,08/2023,Incumbent,IM,n/a,4.1300001,73,0.1786,3.7774,4.4893,N
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,95,08/2023,Incumbent,IM,n/a,4.0700002,91,0.1205,3.8261,4.3049,N
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,94,08/2023,Incumbent,IM,n/a,3.78,55,0.2108,3.3594,4.2047,N
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,95,08/2023,Incumbent,IM,n/a,4.0599999,80,0.1592,3.7447,4.3786,N
11-1011.00,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,93,08/2023,Incumbent,IM,n/a,4.0900002,84,0.1489,3.7906,4.3828,N
11-1011.00,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,94,08/2023,Incumbent,IM,n/a,4.1399999,86,0.1284,3.8832,4.3937,N
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,Supplemental,94,08/2023,Incumbent,IM,n/a,4.0700002,21,0.3621,3.3099,4.8204,N
11-1011.00,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,95,08/2023,Incumbent,IM,n/a,4.52,75,0.1055,4.3146,4.7350,N
11-1011.00,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,94,08/2023,Incumbent,IM,n/a,4.1300001,66,0.1854,3.7629,4.5035,N
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Supplemental,94,08/2023,Incumbent,IM,n/a,3.51,58,0.2058,3.1012,3.9253,N
11-1011.00,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,95,08/2023,Incumbent,IM,n/a,4.3200002,83,0.1071,4.1057,4.5318,N
11-1011.00,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,95,08/2023,Incumbent,IM,n/a,4.1700001,88,0.1950,3.7827,4.5578,N
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,94,08/2023,Incumbent,IM,n/a,3.79,63,0.1763,3.4340,4.1390,N
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,94,08/2023,Incumbent,IM,n/a,3.8099999,39,0.2610,3.2854,4.3422,N
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,94,08/2023,Incumbent,IM,n/a,3.8,71,0.1685,3.4607,4.1326,N
11-1011.00,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,94,08/2023,Incumbent,IM,n/a,4.2399998,91,0.1424,3.9608,4.5266,N
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,Core,95,08/2023,Incumbent,IM,n/a,3.55,71,0.1332,3.2887,3.8199,N
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,94,08/2023,Incumbent,IM,n/a,3.8800001,44,0.2471,3.3790,4.3755,N
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Supplemental,94,08/2023,Incumbent,IM,n/a,3.8099999,56,0.1732,3.4663,4.1603,N
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,Core,27,08/2021,Occupational Expert,IM,n/a,4.2199998,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,27,08/2021,Occupational Expert,IM,n/a,3.52,25,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,27,08/2021,Occupational Expert,IM,n/a,3.1900001,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,Core,27,08/2021,Occupational Expert,IM,n/a,3.3299999,24,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,Core,27,08/2021,Occupational Expert,IM,n/a,3.74,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,Core,27,08/2021,Occupational Expert,IM,n/a,4.3800001,26,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,Core,27,08/2021,Occupational Expert,IM,n/a,3.1300001,23,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,27,08/2021,Occupational Expert,IM,n/a,3.52,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,27,08/2021,Occupational Expert,IM,n/a,3.9300001,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,27,08/2021,Occupational Expert,IM,n/a,3.8499999,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,27,08/2021,Occupational Expert,IM,n/a,4.04,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,27,08/2021,Occupational Expert,IM,n/a,4.3699999,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,27,08/2021,Occupational Expert,IM,n/a,4.3299999,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,27,08/2021,Occupational Expert,IM,n/a,3.74,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,27,08/2021,Occupational Expert,IM,n/a,3.6500001,23,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,27,08/2021,Occupational Expert,IM,n/a,3.48,25,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,27,08/2021,Occupational Expert,IM,n/a,3.3299999,27,n/a,n/a,n/a,n/a
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,27,08/2021,Occupational Expert,IM,n/a,3.8800001,26,n/a,n/a,n/a,n/a
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,82,08/2023,Incumbent,IM,n/a,3.8699999,43,0.2523,3.3602,4.3784,N
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,Core,82,08/2023,Incumbent,IM,n/a,3.98,66,0.1004,3.7761,4.1771,N
11-1021.00,General and Operations Managers,20705,"Perform personnel functions, such as selection, training, or evaluation.",Core,82,08/2023,Incumbent,IM,n/a,3.79,75,0.1243,3.5408,4.0360,N
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,82,08/2023,Incumbent,IM,n/a,3.9000001,61,0.1204,3.6579,4.1397,N
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,82,08/2023,Incumbent,IM,n/a,4.0300002,39,0.1470,3.7344,4.3294,N
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,82,08/2023,Incumbent,IM,n/a,3.74,70,0.1244,3.4922,3.9885,N
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,81,08/2023,Incumbent,IM,n/a,3.5699999,31,0.2310,3.0941,4.0377,N
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,Core,82,08/2023,Incumbent,IM,n/a,4.0100002,67,0.1078,3.7969,4.2272,N
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,82,08/2023,Incumbent,IM,n/a,3.4400001,66,0.1555,3.1315,3.7527,N
11-1021.00,General and Operations Managers,20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,82,08/2023,Incumbent,IM,n/a,3.8299999,63,0.1701,3.4875,4.1677,N
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,82,08/2023,Incumbent,IM,n/a,4.1399999,64,0.1212,3.8946,4.3789,N
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,82,08/2023,Incumbent,IM,n/a,3.0999999,43,0.2337,2.6298,3.5732,N
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,82,08/2023,Incumbent,IM,n/a,3.53,41,0.2438,3.0371,4.0227,N
11-1021.00,General and Operations Managers,20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",Supplemental,81,08/2023,Incumbent,IM,n/a,4.0100002,33,0.1662,3.6743,4.3515,N
