year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,ageorig,hcovany,educ,educd,empstat,empstatd,labforce,occ,ind,uhrswork,inctot,incwage,poverty
2023,2023 acs,1123257,2023001068931,99,2023011232571,672341,households under 1970 definition,1,99,female,28,,with health insurance coverage,5+ years of college,doctoral degree,employed,at work,"yes, in the labor force",3050,8191,40,104400,100000,501
2023,2023 acs,127185,2023000320970,66,2023001271851,731506,households under 1970 definition,1,65,female,49,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",20,8680,40,36000,36000,248
2023,2023 acs,906605,2023000169968,130,2023009066051,441336,households under 1970 definition,1,130,male,62,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",10,4370,40,21000,21000,245
2023,2023 acs,538095,2023001296901,175,2023005380951,240618,households under 1970 definition,1,175,female,65,,with health insurance coverage,2 years of college,"associate's degree, type not specified",not in labor force,not in labor force,"no, not in the labor force",3255,8191,n/a,166800,0,501
2023,2023 acs,203480,2023001116154,159,2023002034801,1070106,households under 1970 definition,1,158,male,67,,with health insurance coverage,nursery school to grade 4,grade 3,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,34800,0,485
2023,2023 acs,243071,2023000200797,94,2023002430711,80108,households under 1970 definition,1,94,male,93,,with health insurance coverage,4 years of college,bachelor's degree,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,193300,0,501
2023,2023 acs,742940,2023000633125,40,2023007429401,230027,households under 1970 definition,1,40,male,52,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",6050,170,60,105000,105000,501
2023,2023 acs,946820,2023000910476,58,2023009468201,410936,households under 1970 definition,4,70,female,26,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,6010,0,54
2023,2023 acs,785173,2023000623838,77,2023007851731,190829,households under 1970 definition,5,88,male,14,,with health insurance coverage,"grade 5, 6, 7, or 8",grade 7,n/a,n/a,n/a,0,0,n/a,9999999,n/a,350
2023,2023 acs,1433798,2023001101129,51,2023014337981,590751,households under 1970 definition,6,53,female,9,,with health insurance coverage,nursery school to grade 4,grade 4,n/a,n/a,n/a,0,0,n/a,9999999,n/a,298
2023,2023 acs,391248,2023010065119,16,2023003912481,30013,other group quarters,1,16,male,65,,with health insurance coverage,grade 12,ged or alternative credential,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,26700,0,0
2023,2023 acs,112508,2023000169953,228,2023001125081,711806,households under 1970 definition,1,228,male,27,,with health insurance coverage,n/a or no schooling,no schooling completed,employed,at work,"yes, in the labor force",4020,8680,40,7000,7000,35
